Well Name,Depth,Quartz,K-Feldspar,Plagioclase,Chlorite,IlliteSmectiteMica,Calcite,Ankerite/Dolomite,Pyrite,Organics,Al2O3,SiO2,TiO2,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SO3,Cl,Zr
Well 1,4234.67,41.6,2.82,6.07,3.41,10.28,25.1,7.2,1.51,2.01,9.3,42.72,0.54,3.2,0.27,3.4,11.14,1.1,2.3,0.14,1.45,0.22,133.06
Well 1,4243.82,46.51,0.38,5.78,2.0,6.81,27.21,8.89,1.16,1.28,9.38,41.91,0.5,3.19,0.24,3.52,10.96,1.2,2.3,0.15,1.3,0.21,137.55
Well 1,4252.96,44.59,1.98,5.56,2.49,7.13,28.52,6.99,1.28,1.47,9.35,41.74,0.51,3.22,0.25,3.56,10.73,1.16,2.3,0.15,1.41,0.16,157.53
Well 1,4262.1,40.24,2.43,6.06,3.43,10.77,27.45,6.03,1.55,2.05,3.48,46.08,0.31,1.62,0.15,0.61,19.47,0.77,0.76,0.09,1.21,0.25,183.41
Well 1,4271.25,38.62,0.0,3.97,2.02,6.44,42.1,4.35,1.02,1.48,1.48,32.29,0.24,1.24,0.18,0.52,31.39,0.44,0.4,0.05,0.77,0.17,110.02
Well 1,4280.39,35.7,2.08,2.28,2.46,8.19,44.16,2.35,1.23,1.57,1.54,34.67,0.23,1.29,0.16,0.52,29.44,0.53,0.42,0.01,0.97,0.22,110.02
Well 1,4289.54,29.25,0.0,1.31,1.56,7.48,57.15,1.44,0.83,0.97,0.98,30.84,0.2,0.97,0.16,0.39,33.2,0.46,0.34,0.0125,1.03,0.16,110.14
Well 1,4307.82,32.2,0.0,3.16,2.01,5.9,52.45,2.55,0.69,1.04,1.02,31.17,0.24,1.0,0.15,0.41,33.0,0.4,0.34,0.015,1.07,0.2,126.92
Well 1,4326.11,33.84,0.0,3.13,1.64,5.28,52.21,2.17,0.68,1.06,1.02,31.8,0.2,0.96,0.16,0.39,34.13,0.4,0.32,0.0175,0.89,0.15,94.66
Well 1,4344.4,34.18,0.0,4.63,2.94,7.07,42.85,6.22,0.75,1.35,2.37,35.36,0.3,1.41,0.18,0.77,27.8,0.58,0.53,0.02,1.26,0.21,169.58
Well 1,4362.69,36.67,0.0,5.24,2.22,6.03,39.75,7.8,0.99,1.29,2.28,35.84,0.29,1.52,0.19,0.81,27.88,0.55,0.54,0.04,1.3,0.23,153.98
Well 1,4371.83,35.25,0.84,6.82,4.13,14.11,32.51,2.57,1.4,2.38,3.81,41.21,0.33,1.75,0.2,0.45,22.82,0.62,0.82,0.06,1.07,0.16,223.11
Well 1,4380.98,40.87,0.94,7.06,3.13,13.07,28.0,3.61,1.26,2.06,3.67,41.02,0.31,1.63,0.16,0.38,22.13,0.67,0.8,0.06,1.14,0.17,218.74
Well 1,4399.26,40.9,1.23,6.84,2.92,11.56,29.92,3.29,1.38,1.97,9.69,43.66,0.51,3.21,0.23,3.13,11.45,1.1,2.32,0.13,1.68,0.25,177.02
Well 1,4426.7,40.31,0.77,6.95,3.26,13.1,29.81,2.32,1.25,2.23,3.79,43.2,0.32,1.52,0.14,0.36,21.02,0.7,0.82,0.08,1.38,0.17,151.62
Well 1,4444.98,41.75,0.4,6.87,3.29,11.95,30.26,1.91,1.34,2.24,3.68,43.7,0.32,1.54,0.16,0.26,20.51,0.67,0.79,0.08,1.29,0.14,171.94
Well 1,4463.27,39.05,0.93,7.47,3.71,13.76,29.56,1.57,1.53,2.41,9.83,43.41,0.54,3.28,0.21,3.15,10.67,1.2,2.33,0.14,1.85,0.37,205.98
Well 1,4481.56,34.71,0.0,5.97,3.19,10.13,37.18,5.78,1.3,1.73,2.32,30.71,0.29,1.5,0.22,0.65,29.03,0.49,0.54,0.01,1.06,0.19,160.48
Well 1,4499.85,40.18,1.27,9.77,4.45,16.68,18.09,4.7,1.83,3.03,5.25,44.15,0.4,2.1,0.2,0.39,17.27,0.73,1.02,0.08,1.34,0.18,210.94
Well 1,4518.14,44.49,0.84,8.34,3.1,12.31,21.05,5.99,1.75,2.13,4.98,42.82,0.41,1.94,0.16,0.49,19.03,0.68,0.95,0.08,1.3,0.19,181.99
Well 1,4527.28,43.53,0.09,7.1,2.69,13.73,27.36,1.67,1.34,2.48,4.09,44.46,0.36,1.83,0.18,0.33,18.36,0.75,0.86,0.08,1.36,0.2,167.81
Well 1,4536.42,44.54,1.82,10.78,3.74,11.55,21.55,1.9,1.46,2.67,4.71,47.28,0.41,1.8,0.16,0.35,16.32,0.83,0.89,0.09,1.27,0.22,203.85
Well 1,4545.57,46.18,2.17,11.59,3.14,12.04,19.1,1.87,1.53,2.37,10.06,41.49,0.58,3.42,0.24,3.17,9.14,1.39,2.33,0.17,1.32,0.18,259.04
Well 1,4554.71,43.07,2.11,10.42,4.02,13.03,21.78,1.66,1.33,2.58,4.65,45.74,0.5,1.93,0.21,0.26,14.72,0.73,0.91,0.11,1.33,0.18,224.53
Well 1,4563.86,43.22,2.27,10.62,3.73,12.86,21.16,2.05,1.52,2.56,5.01,49.18,0.43,1.96,0.19,0.29,16.37,0.79,0.93,0.13,1.05,0.13,234.93
Well 1,4573.0,44.65,2.33,10.98,3.84,15.68,16.04,2.24,1.36,2.9,5.39,48.27,0.43,2.12,0.17,0.4,15.72,0.83,0.94,0.11,1.21,0.17,226.07
Well 1,4591.29,43.53,0.13,8.39,3.42,13.7,24.04,2.71,1.59,2.5,4.65,45.02,0.39,1.91,0.18,0.36,19.25,0.74,0.9,0.07,1.35,0.14,186.71
Well 1,4600.43,43.46,0.0,6.77,2.19,10.06,31.0,3.6,1.23,1.68,3.79,39.03,0.32,1.71,0.16,0.48,23.89,0.64,0.74,0.04,1.24,0.17,124.2
Well 1,4609.58,47.03,1.67,10.92,3.99,13.79,16.01,2.26,1.6,2.73,4.57,48.14,0.39,1.95,0.18,0.39,15.42,0.77,0.89,0.1,1.26,0.13,242.37
Well 1,4618.72,44.42,3.9,10.81,4.39,16.49,13.07,2.45,1.49,2.96,4.32,44.26,0.42,1.77,0.18,0.36,14.24,0.69,0.89,0.17,1.32,0.13,226.07
Well 1,4627.86,44.16,2.45,10.36,4.15,13.22,19.38,2.16,1.46,2.65,4.82,48.64,0.44,1.98,0.19,0.39,14.11,0.76,0.96,0.11,1.48,0.14,235.99
Well 1,4637.01,44.05,1.68,6.96,3.43,12.82,24.41,2.54,1.68,2.44,4.08,47.71,0.38,1.78,0.2,0.42,19.25,0.79,0.83,0.08,1.49,0.16,179.27
Well 1,4655.3,38.17,1.67,2.7,2.33,11.33,37.8,3.06,1.31,1.63,2.26,30.79,0.3,1.64,0.17,0.16,20.63,0.36,0.72,0.06,1.16,0.15,87.09
Well 1,4673.58,36.83,3.27,3.08,1.95,11.46,39.26,1.04,1.24,1.86,3.55,43.15,0.32,1.69,0.16,0.28,21.48,0.62,0.78,0.06,1.38,0.18,112.74
Well 1,4682.73,38.13,2.36,5.77,3.37,14.36,30.47,1.66,1.59,2.29,3.87,44.36,0.33,1.8,0.16,0.29,20.65,0.65,0.78,0.07,1.29,0.16,106.47
Well 1,4691.87,43.14,1.57,10.89,3.7,18.78,15.95,2.81,1.27,1.88,11.08,40.77,0.66,4.31,0.45,3.06,6.17,1.27,2.41,0.17,0.66,0.1,196.88
Well 1,4710.16,35.47,0.08,9.56,3.74,14.31,29.41,3.88,1.48,2.07,7.71,43.78,0.47,3.06,0.55,0.43,18.9,0.69,1.06,0.1,0.96,0.09,131.41
Well 1,4719.3,39.89,0.76,5.78,2.69,12.06,31.49,4.14,1.26,1.93,4.73,43.67,0.4,1.94,0.22,0.43,20.97,0.64,0.88,0.11,1.3,0.13,136.61
Well 1,4725.4,45.73,3.47,7.73,2.48,12.61,22.89,1.75,1.29,2.05,2.86,47.07,0.33,1.35,0.16,0.04,20.44,0.67,0.62,0.05,0.79,0.13,223.94
Well 1,4734.54,45.51,4.3,6.08,2.84,8.75,29.56,0.04,0.96,1.97,3.18,47.79,0.34,1.39,0.15,0.04,19.41,0.73,0.61,0.05,0.94,0.16,242.26
Well 1,4743.69,51.62,1.77,6.4,1.96,8.2,26.51,1.01,0.83,1.69,1.36,27.76,0.31,1.08,0.14,0.02,17.39,0.34,0.49,0.05,0.77,0.14,193.33
Well 1,4752.83,48.45,2.97,6.7,2.28,7.98,28.8,0.35,0.76,1.7,2.42,46.08,0.33,1.26,0.16,0.05,20.79,0.69,0.58,0.05,0.74,0.13,212.83
Well 1,4761.98,47.27,4.76,6.64,2.83,8.37,26.59,0.83,0.82,1.88,2.48,46.13,0.36,1.29,0.16,0.04,20.58,0.65,0.61,0.05,0.84,0.15,227.13
Well 1,4771.12,43.89,5.7,6.52,3.0,7.88,30.16,0.0,0.95,1.91,2.46,43.78,0.35,1.28,0.17,0.04,21.09,0.61,0.57,0.04,0.68,0.13,222.99
Well 1,4780.26,43.24,5.16,2.86,2.66,14.51,27.41,0.36,1.32,2.5,2.76,44.55,0.31,1.38,0.14,0.04,17.3,0.58,0.68,0.06,1.1,0.16,94.42
Well 1,4789.41,43.19,6.52,1.31,3.13,15.05,26.33,0.26,1.16,3.04,2.5,54.68,0.43,1.37,0.15,0.03,15.69,0.6,0.64,0.08,1.33,0.1,75.75
Well 1,4798.55,47.62,5.12,4.27,2.17,11.03,26.2,0.0,1.14,2.45,8.91,41.89,0.53,2.89,0.27,2.79,9.92,0.87,2.26,0.14,1.03,0.12,181.16
Well 1,4807.7,46.01,4.26,4.26,2.58,10.7,28.38,0.0,1.32,2.51,2.28,51.24,0.31,1.19,0.14,0.03,17.02,0.6,0.53,0.08,0.82,0.09,160.6
Well 1,4816.84,48.69,4.13,5.29,2.2,10.77,24.9,0.41,1.26,2.35,0.93,51.13,0.29,0.9,0.14,0.04,19.05,0.735,0.5,0.1,0.69,0.1,151.85
Well 1,4825.98,44.56,6.43,3.67,3.27,12.05,26.09,0.0,1.07,2.85,8.88,41.49,0.5,2.86,0.23,2.79,10.1,0.87,2.26,0.14,0.82,0.1,169.93
Well 1,4835.13,44.11,5.86,3.64,3.16,12.48,26.84,0.0,1.14,2.79,1.81,52.4,0.28,0.97,0.12,0.03,17.33,0.63,0.47,0.09,0.72,0.09,172.18
Well 1,4844.27,47.36,2.5,3.19,2.28,19.97,19.81,0.59,1.59,2.71,9.6,39.58,0.52,3.15,0.19,2.79,8.11,0.99,2.33,0.13,1.31,0.1,71.38
Well 1,4853.42,44.77,4.21,3.97,3.38,17.25,21.69,0.46,1.39,2.88,3.28,52.09,0.34,1.47,0.13,0.03,15.85,0.65,0.72,0.08,0.96,0.09,105.06
Well 1,4862.56,42.3,5.14,2.36,3.54,23.81,17.18,0.56,1.55,3.57,4.62,56.55,0.34,1.68,0.15,0.433333333333,13.38,0.63,1.03,0.08,0.98,0.07,70.9
Well 1,4871.7,41.75,5.67,2.59,3.83,19.77,20.71,1.06,1.44,3.18,4.51,54.77,0.35,1.69,0.14,0.836666666667,12.58,0.6,1.0,0.08,1.06,0.06,78.94
Well 1,4884.81,31.43,0.0,2.42,2.99,10.12,42.68,7.97,0.98,1.42,1.73,32.34,0.25,1.75,0.19,1.24,31.11,0.635,0.47,0.07,1.21,0.16,79.62
Well 1,4889.99,43.36,1.54,2.35,1.16,7.89,30.27,11.95,0.76,0.73,2.44,49.16,0.25,2.01,0.2,1.01,18.07,0.67,0.6,0.06,0.73,0.06,121.06
Well 1,4899.14,46.74,0.09,3.24,0.97,6.35,29.29,11.25,1.18,0.89,2.45,48.25,0.25,2.01,0.21,1.08,18.38,0.69,0.59,0.07,0.64,0.06,108.52
Well 1,4908.28,43.47,3.36,1.05,1.57,9.53,27.91,10.01,1.38,1.72,3.45,69.77,0.24,2.15,0.2,1.91,19.78,1.15,0.64,0.08,0.88,0.08,220.88
Well 1,4917.42,42.58,3.54,1.6,1.93,9.71,28.33,9.41,1.3,1.59,2.63,48.48,0.25,2.09,0.22,1.01,18.62,0.65,0.61,0.07,0.68,0.04,187.85
Well 1,4926.57,41.3,4.16,1.73,2.2,9.49,28.92,9.42,1.18,1.6,3.52,68.76,0.27,2.11,0.2,1.61,19.91,0.98,0.67,0.08,0.82,0.06,117.81
Well 1,4935.71,43.54,2.69,1.54,1.86,9.35,28.9,9.21,1.27,1.63,2.47,49.87,0.26,1.97,0.21,1.01,18.74,0.7,0.61,0.08,0.64,0.03,110.44
Well 1,4944.86,28.11,0.0,4.16,2.01,8.33,51.63,4.02,0.78,0.95,2.48,30.61,0.24,1.43,0.19,0.58,34.26,0.46,0.46,0.0675,0.77,0.07,212.48
Well 1,4954.0,29.17,0.0,4.34,1.87,7.36,50.56,5.21,0.66,0.83,1.91,27.73,0.2,1.46,0.2,0.56,33.56,0.39,0.41,0.055,0.62,0.07,220.73
Well 1,4963.14,27.05,0.0,3.96,1.39,5.67,54.9,6.02,0.41,0.59,2.36,30.41,0.24,1.44,0.19,0.57,32.52,0.45,0.44,0.0425,0.7,0.05,223.09
