Well Name,Depth,Quartz,K-Feldspar,Plagioclase,Chlorite,IlliteSmectiteMica,Calcite,Ankerite/Dolomite,Pyrite,Organics,Al2O3,SiO2,TiO2,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SO3,Cl,Zr
Well 1,5520.93,35.72,4.9,0.67,3.18,27.05,20.24,0.71,1.96,5.57,8.28,74.74,0.23,1.32,0.09,0.11,12.38,0.75,1.18,0.12,1.09,0.06,55.74
Well 1,5539.22,40.98,1.97,1.91,2.45,23.41,21.9,0.97,2.07,4.35,8.64,70.16,0.37,1.92,0.13,0.2,15.01,0.9,1.39,0.11,1.42,0.07,98.64
Well 1,5557.5,39.1,3.62,2.4,2.47,24.29,20.78,1.58,1.7,4.07,8.64,71.14,0.32,1.73,0.14,0.14,14.85,0.725,1.32,0.1,1.19,0.09,81.25
Well 1,5584.94,44.62,0.77,3.34,1.94,22.65,20.72,1.28,1.83,2.85,5.1,45.06,0.31,1.7,0.13,0.15,13.74,0.55,1.14,0.07,0.96,0.07,84.93
Well 1,5603.22,39.77,3.07,1.86,3.13,25.54,20.9,0.45,1.64,3.64,5.25,51.42,0.34,1.67,0.15,0.06,15.84,0.58,1.17,0.09,0.97,0.09,88.62
Well 1,5621.51,45.92,0.0,3.29,1.65,21.57,22.09,0.93,1.59,2.96,8.13,71.87,0.32,1.72,0.09,0.24,13.82,0.96,1.21,0.11,1.65,0.1,96.29
Well 1,5648.94,37.16,3.5,2.87,3.13,25.58,20.81,0.98,1.83,4.14,5.89,49.58,0.38,1.74,0.16,0.1,14.55,0.55,1.33,0.09,1.08,0.13,68.42
Well 1,5667.23,41.85,2.19,1.97,2.52,25.1,20.5,0.81,1.64,3.42,5.84,49.23,0.35,1.75,0.12,0.14,13.8,0.58,1.29,0.09,1.05,0.09,91.42
Well 1,5685.52,39.21,3.24,1.88,2.81,24.97,22.13,0.63,1.69,3.43,5.77,49.9,0.37,1.79,0.15,0.13,13.98,0.6,1.29,0.09,1.16,0.11,88.91
Well 1,5703.81,38.88,3.03,2.24,2.92,26.67,19.78,0.76,1.88,3.84,5.96,49.48,0.35,1.81,0.14,0.14,14.12,0.59,1.3,0.09,1.06,0.09,80.8
Well 1,5722.1,42.31,2.37,2.3,2.33,25.13,19.51,1.09,1.78,3.19,5.46,43.63,0.33,1.79,0.14,0.1,12.78,0.51,1.24,0.07,0.85,0.1,88.47
Well 1,5731.24,42.72,2.04,2.89,2.61,24.89,19.54,0.43,1.7,3.17,6.0,48.35,0.33,2.04,0.93,0.14,12.87,0.58,1.25,0.09,1.08,0.08,95.4
Well 1,5740.38,44.85,0.57,2.98,1.92,24.03,20.29,0.55,1.68,3.14,6.02,48.49,0.32,1.8,0.13,0.13,13.09,0.55,1.28,0.08,0.92,0.07,91.27
Well 1,5749.53,44.3,4.37,6.11,3.3,16.52,20.5,0.51,1.45,2.94,3.86,47.56,0.38,1.54,0.24,0.09,15.71,0.66,0.83,0.09,0.73,0.1,189.92
Well 1,5758.67,40.14,1.66,4.01,0.74,10.43,33.85,4.67,2.24,2.27,2.81,39.17,0.56,1.94,0.38,0.2,16.76,0.53,0.64,0.07,1.63,0.13,68.71
Well 1,5767.82,44.85,1.06,4.56,0.55,9.38,30.79,5.49,1.51,1.82,3.13,46.29,0.78,4.31,1.25,0.08,16.04,0.49,0.71,0.11,2.85,0.05,146.42
Well 1,5776.96,45.69,0.0,9.03,2.97,15.82,16.04,6.38,1.83,2.22,5.59,42.15,0.5,2.31,0.19,0.51,12.33,0.66,1.04,0.16,1.63,0.08,224.13
Well 1,5786.1,45.41,0.0,8.91,2.97,17.65,14.29,6.55,1.84,2.37,6.11,42.77,0.47,2.41,0.19,0.42,11.76,0.72,1.17,0.16,1.22,0.13,223.09
Well 1,5795.25,41.14,1.06,9.65,3.37,19.16,16.93,4.3,1.73,2.65,5.93,42.59,0.46,2.33,0.19,0.4,12.72,0.71,1.17,0.17,1.1,0.12,204.81
Well 1,5804.39,45.2,0.86,8.29,2.7,18.76,14.05,6.33,1.65,2.15,5.96,41.44,0.44,2.32,0.19,0.43,11.5,0.61,1.19,0.17,1.03,0.1,207.17
Well 1,5813.54,49.78,0.0,8.77,2.28,13.33,17.25,5.27,1.63,1.68,6.46,49.71,0.56,2.41,0.22,0.41,12.27,0.76,1.27,0.17,0.98,0.04,203.48
Well 1,5822.68,47.55,0.48,9.34,2.9,17.54,13.28,5.38,1.57,1.97,6.38,47.38,0.54,2.25,0.19,0.37,10.48,0.7,1.26,0.15,0.85,0.04,202.75
Well 1,5831.82,47.96,3.33,3.51,1.96,14.65,19.29,6.37,1.2,1.73,4.35,53.04,0.33,1.74,0.16,0.37,12.65,0.65,0.92,0.08,0.6,0.03,155.71
Well 1,5840.97,51.71,4.83,2.51,2.05,16.17,17.98,1.13,1.14,2.48,2.81,46.01,0.24,1.04,0.12,0.26,9.81,0.55,0.69,0.06,0.72,0.03,84.19
Well 1,5850.11,53.56,3.47,3.51,1.75,17.93,15.88,0.59,1.18,2.13,3.68,51.5,0.28,1.1,0.1,0.15,8.0,0.56,0.88,0.08,0.58,0.04,83.75
Well 1,5859.26,47.28,4.39,2.11,2.18,17.11,20.57,2.48,1.51,2.36,2.4,41.39,0.21,0.97,0.1,0.04,10.0,0.45,0.62,0.05,0.53,0.03,49.99
Well 1,5868.4,52.79,2.78,1.91,0.97,15.18,20.49,3.18,1.26,1.44,3.21,50.37,0.72,1.28,0.12,0.14,11.95,0.57,0.71,0.07,0.63,0.05,72.25
Well 1,5877.54,49.94,4.32,2.43,1.93,19.62,17.01,1.1,1.25,2.41,3.81,52.18,0.29,1.17,0.1,0.25,8.69,0.55,0.89,0.07,0.56,0.02,94.37
Well 1,5886.69,44.41,4.67,2.67,2.92,16.8,20.66,3.7,1.59,2.59,2.94,47.09,0.24,1.33,0.15,0.36,10.94,0.58,0.66,0.08,0.64,0.03,91.27
Well 1,5895.83,47.63,4.9,2.98,2.89,15.89,19.25,2.8,1.19,2.46,2.4,37.32,0.22,1.05,0.12,0.16,12.42,0.43,0.57,0.05,0.5,0.03,70.78
Well 1,5904.98,49.86,0.09,5.32,2.36,7.76,24.72,7.78,0.9,1.21,2.17,31.06,0.22,0.82,0.1,0.17,10.21,0.41,0.51,0.05,0.74,0.09,62.67
Well 1,5914.12,51.42,0.86,4.4,1.83,8.61,24.53,6.08,1.01,1.26,1.5,24.33,0.34,0.56,0.09,0.12,7.39,0.31,0.4,0.06,0.59,0.06,38.48
Well 1,5923.26,35.06,0.61,6.0,3.06,9.21,39.28,4.37,1.21,1.19,5.27,44.47,0.37,1.39,0.12,0.19,7.68,0.62,1.07,0.09,0.73,0.03,148.48
Well 1,5932.41,46.35,3.88,7.47,3.44,18.22,13.74,2.77,1.49,2.64,5.94,50.56,0.59,1.81,0.16,0.18,9.14,0.69,1.25,0.08,0.78,0.02,200.83
Well 1,5941.55,46.25,3.42,6.13,3.37,16.3,17.88,2.78,1.41,2.47,3.99,40.22,0.36,1.73,0.21,0.33,23.35,0.55,0.78,0.04,0.63,0.03,239.46
Well 1,5950.7,50.01,1.75,9.75,2.08,11.42,18.62,2.93,1.32,2.12,6.08,55.29,0.46,1.77,0.14,0.08,10.71,0.79,1.16,0.13,0.8,0.03,307.88
Well 1,5959.84,46.82,2.27,10.8,2.79,21.81,10.96,0.46,1.67,2.41,5.74,49.18,0.47,2.04,0.2,0.22,14.98,0.74,1.09,0.1,0.92,0.04,251.7
Well 1,5968.98,46.74,2.54,10.19,3.3,13.16,19.19,1.11,1.42,2.34,6.23,46.8,0.57,2.25,0.16,0.09,8.56,0.57,1.52,0.11,1.19,0.02,255.83
Well 1,5978.13,31.94,0.0,6.79,3.1,7.13,42.55,6.43,1.03,1.02,4.92,49.35,0.42,1.93,0.16,0.22,13.29,0.73,0.91,0.07,1.04,0.03,248.75
Well 1,5987.27,51.51,0.0,8.32,1.51,13.28,18.84,3.65,1.22,1.66,3.15,30.18,0.27,1.78,0.24,0.46,28.5,0.45,0.56,0.03,0.66,0.02,221.77
Well 1,5996.42,48.35,1.59,9.3,2.95,10.2,22.91,1.55,1.22,1.93,7.3,52.08,0.67,2.22,0.18,0.16,13.98,0.76,1.39,0.13,0.93,0.03,199.35
Well 1,6005.56,41.31,0.0,8.76,2.87,7.5,32.25,4.77,1.15,1.39,3.73,44.7,0.36,1.56,0.18,0.11,18.01,0.66,0.76,0.08,0.6,0.03,203.78
Well 1,6014.7,48.58,0.04,10.54,2.97,11.04,20.52,3.27,1.41,1.64,4.48,39.4,0.37,1.83,0.2,0.4,22.03,0.62,0.78,0.07,0.84,0.03,205.1
Well 1,6023.85,44.3,0.0,8.94,2.61,8.71,28.25,4.52,1.26,1.41,3.34,31.39,0.33,1.64,0.21,0.24,24.41,0.45,0.64,0.04,0.56,0.03,276.03
Well 1,6032.99,43.75,0.0,7.02,1.22,2.84,39.93,3.95,0.49,0.8,2.08,22.72,0.24,1.12,0.2,0.23,31.85,0.3,0.39,0.08,0.44,0.04,292.1
Well 1,6042.14,43.26,0.0,8.75,2.6,3.2,37.79,2.66,0.72,1.02,2.9,33.74,0.34,1.2,0.18,0.17,26.96,0.51,0.54,0.18,0.61,0.03,374.38
Well 1,6051.28,38.21,0.0,9.91,3.85,8.04,36.67,0.62,1.17,1.54,2.22,23.5,0.23,0.9,0.17,0.22,24.37,0.37,0.4,0.17,0.48,0.06,234.59
Well 1,6060.42,41.0,2.24,12.64,4.46,8.46,26.83,1.42,1.0,1.96,4.66,38.66,0.37,1.72,0.16,0.35,18.8,0.64,0.86,0.27,0.89,0.04,259.22
Well 1,6069.57,41.2,0.95,11.7,4.22,11.77,23.14,3.27,1.46,2.28,3.67,36.67,0.38,1.34,0.2,0.24,23.04,0.55,0.69,0.33,0.71,0.05,364.79
Well 1,6078.71,44.32,0.19,11.7,3.56,7.32,27.32,2.47,1.45,1.68,3.57,34.37,0.36,1.46,0.16,0.33,22.47,0.58,0.64,0.15,0.91,0.05,387.21
Well 1,6087.86,38.53,0.0,7.59,1.89,2.03,45.68,3.21,0.43,0.65,0.94,15.7,0.14,0.44,0.11,0.19,14.88,0.2,0.33,0.07,0.7,0.18,50.13
Well 1,6097.0,31.38,0.0,7.78,2.97,4.77,49.71,1.74,0.82,0.84,1.51,19.91,0.17,0.7,0.16,0.2,20.39,0.29,0.34,0.05,0.5,0.11,95.4
Well 1,6115.29,32.88,0.0,8.49,2.81,3.09,49.19,2.1,0.67,0.77,2.46,24.13,0.27,0.96,0.16,0.25,21.49,0.37,0.45,0.09,0.56,0.06,209.82
Well 1,6124.43,38.55,0.62,8.81,3.26,4.24,39.82,2.39,1.21,1.1,0.93,13.74,0.17,0.38,0.1,0.16,11.34,0.16,0.28,0.06,0.65,0.14,116.04
Well 1,6133.58,42.6,2.65,11.16,1.5,0.7,36.59,1.85,1.69,1.25,2.86,30.88,0.29,1.31,0.19,0.2,27.15,0.47,0.51,0.06,0.57,0.05,265.56
Well 1,6142.72,41.13,2.18,12.51,1.58,0.0,38.36,1.75,1.72,0.78,2.56,27.21,0.28,1.34,0.21,0.26,31.12,0.44,0.41,0.02,0.55,0.04,266.59
Well 1,6164.06,40.73,1.39,7.33,0.88,3.27,42.47,2.77,1.15,0.0,1.59,21.4,0.29,0.81,0.17,0.27,34.51,0.36,0.27,0.04,0.57,0.07,256.12
Well 1,6182.34,37.51,1.18,7.69,1.13,6.3,42.92,2.03,1.24,0.0,1.44,18.71,0.21,0.77,0.21,0.24,34.42,0.26,0.25,0.06,0.4,0.07,219.55
Well 1,6200.63,33.87,1.79,8.32,1.24,3.19,47.83,2.24,1.52,0.0,1.74,20.9,0.2,0.87,0.2,0.32,35.03,0.32,0.29,0.08,0.47,0.03,211.0
Well 1,6218.92,42.09,1.93,8.17,0.88,6.07,35.12,4.65,1.08,0.0,4.22,34.83,0.35,1.65,0.21,0.5,25.45,0.55,0.67,0.1,0.66,0.05,251.26
Well 1,6237.21,41.9,2.22,12.54,1.42,7.3,27.21,4.46,1.53,1.44,6.73,43.44,0.61,2.49,0.26,0.68,19.68,0.72,1.16,0.23,0.98,0.03,310.38
Well 1,6255.5,45.04,1.97,13.74,1.69,9.02,19.07,5.33,1.54,2.59,6.67,42.99,0.59,2.56,0.29,0.64,18.41,0.74,1.17,0.23,0.97,0.02,337.37
Well 1,6273.78,41.21,2.16,12.25,1.21,10.8,23.72,5.89,1.4,1.36,7.15,45.51,0.63,2.65,0.3,0.69,19.92,0.74,1.23,0.53,1.05,0.02,356.98
Well 1,6296.64,46.72,3.35,13.6,1.68,5.41,20.03,5.52,0.98,2.72,5.0,37.48,0.47,2.16,0.25,0.44,19.7,0.6,0.92,0.16,0.77,0.02,360.96
