MD,INC,AZ,TVD
4545.4824,92.23,3.61,3633.88656
4574.4384,92.1,3.76,3632.792328
4603.3944,91.2,4.38,3631.960224
4632.0456,89.9,3.83,3631.685904
4669.536,89.73,4.57,3631.804776
4698.1872,90.93,1.81,3631.640184
4727.1432,91.85,359.36,3630.939144
4755.7944,91.44,359.19,3630.116184
4784.7504,90.45,359.07,3629.637648
4813.7064,90.96,359.52,3629.281032
4842.6624,90.0,359.35,3629.04024
4871.6184,91.92,359.64,3628.555608
4900.5744,93.16,359.6,3627.2724
4929.2256,94.13,359.66,3625.449696
4958.1816,95.38,359.69,3623.047872
4986.8328,94.58,0.15,3620.560704
5015.7888,93.75,0.58,3618.457584
5044.7448,93.19,359.87,3616.704984
5073.7008,92.03,359.49,3615.388248
5102.6568,92.78,359.57,3614.172096
5131.6128,91.96,359.71,3612.974232
5160.264,91.92,0.01,3612.004968
5189.22,92.54,359.84,3610.880256
5218.176,93.47,359.63,3609.362352
5246.8272,92.58,0.22,3607.847496
5268.468,92.51,0.44,3606.887376
5297.424,92.65,0.53,3605.58588
5326.0752,91.2,0.37,3604.622712
5383.6824,91.1,0.22,3603.464472
5412.6384,91.75,0.3,3602.745144
5440.9848,92.2,359.88,3601.769784
5469.3312,91.72,359.54,3600.80052
5498.592,91.51,359.41,3599.974512
5527.2432,91.75,359.44,3599.160696
5555.2848,91.61,359.19,3598.337736
5583.3264,91.93,359.46,3597.472104
5611.6728,90.65,359.99,3596.832024
5640.0192,89.62,359.91,3596.768016
5668.6704,88.66,359.05,3597.197784
5696.712,91.55,357.65,3597.145968
5725.3632,91.2,357.27,3596.45712
5754.0144,92.17,359.23,3595.615872
5782.6656,92.37,0.22,3594.478968
5811.3168,92.92,0.33,3593.159184
5839.968,92.85,0.77,3591.71748
5868.6192,92.24,1.98,3590.443416
5897.5752,92.99,2.8,3589.123632
5926.2264,92.61,2.18,3587.721552
5954.8776,92.96,2.73,3586.331664
5983.8336,92.48,3.1,3584.957016
6012.4848,93.2,2.27,3583.536648
6041.136,92.55,3.97,3582.10104
6069.4824,92.16,4.11,3580.936704
6098.4384,91.96,3.42,3579.894288
6127.6992,91.62,3.66,3578.979888
6156.3504,90.58,3.67,3578.431248
6185.0016,89.79,3.44,3578.33676
6213.9576,89.86,2.58,3578.425152
6242.6088,91.45,3.56,3578.099016
6271.26,93.71,3.69,3576.809712
6299.9112,94.41,1.37,3574.779744
6328.5624,94.47,358.64,3572.5608
6357.2136,95.13,356.92,3570.165072
6385.8648,96.13,355.29,3567.354816
6414.516,96.23,352.94,3564.267192
6443.472,94.33,350.73,3561.60324
6472.428,91.37,352.07,3560.164584
6500.7744,91.96,354.4,3559.341624
6529.7304,92.34,357.39,3558.253488
6558.3816,92.68,359.61,3556.997712
6587.3376,92.82,2.47,3555.610872
6615.9888,91.27,4.04,3554.586744
6644.3352,90.48,5.77,3554.153928
6655.6128,90.76,7.37,3554.032008
6676.644,90.76,7.37,3553.751592
